GENDER,Car_Owner,Propert_Owner,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Employed_days,Family_Members,target
M,Y,Y,0.1391304347826087,Pensioner,Higher education,Married,House / apartment,2.227877736065395,0.0,Rejected
F,Y,N,1.4434782608695653,Commercial associate,Higher education,Married,House / apartment,-0.4335634849690929,0.0,Rejected
F,Y,N,1.4434782608695653,Commercial associate,Higher education,Married,House / apartment,-0.4335634849690929,0.0,Rejected
F,Y,N,0.20070051866752187,Commercial associate,Higher education,Married,House / apartment,-0.4335634849690929,0.0,Rejected
F,Y,N,1.4434782608695653,Commercial associate,Higher education,Married,House / apartment,-0.4335634849690929,0.0,Rejected
F,Y,N,0.20070051866752187,Commercial associate,Higher education,Married,House / apartment,-0.4335634849690929,0.0,Rejected
F,N,N,1.4434782608695653,Pensioner,Secondary / secondary special,Married,House / apartment,2.227877736065395,0.0,Rejected
M,Y,Y,0.1391304347826087,Commercial associate,Secondary / secondary special,Married,House / apartment,-0.4342327938328931,1.0,Rejected
M,Y,Y,2.747826086956522,Pensioner,Secondary / secondary special,Married,House / apartment,-0.4342327938328931,1.0,Rejected
M,Y,Y,2.747826086956522,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-0.4342327938328931,-1.0,Rejected
F,Y,Y,2.747826086956522,Working,Secondary / secondary special,Married,House / apartment,-0.4365899250488852,0.0,Rejected
F,Y,Y,-0.7304347826086957,Working,Secondary / secondary special,Married,House / apartment,-0.4365899250488852,0.0,Rejected
F,Y,Y,0.2320826309823562,Working,Secondary / secondary special,Married,House / apartment,-0.4365899250488852,0.0,Rejected
M,N,N,-0.7304347826086957,Pensioner,Higher education,Married,With parents,-0.4359424414741219,1.0,Rejected
M,N,Y,2.965217391304348,Working,Secondary / secondary special,Married,House / apartment,-0.4311045024042616,0.0,Rejected
M,N,Y,1.008695652173913,Working,Secondary / secondary special,Single / not married,House / apartment,-0.4311045024042616,0.0,Rejected
F,N,Y,1.008695652173913,Commercial associate,Higher education,Single / not married,House / apartment,-0.4472697664843062,-1.0,Rejected
F,N,Y,-0.3826086956521739,Commercial associate,Higher education,Single / not married,House / apartment,-0.4472697664843062,-1.0,Rejected
M,N,Y,-0.3826086956521739,Pensioner,Secondary / secondary special,Married,House / apartment,-0.4412605369027955,0.0,Rejected
M,N,N,-0.7304347826086957,Working,Higher education,Single / not married,House / apartment,-0.4607796203981869,-1.0,Rejected
M,Y,Y,0.3565217391304348,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-0.4414787897931651,0.0,Rejected
